Jahr,Nationalität,Geschlecht,Familienstatus,Alter,Anzahl
31.12.2020,Ausländer,männlich,verheiratet,0,-
31.12.2020,Ausländer,männlich,verwitwet,0,-
31.12.2020,Ausländer,männlich,geschieden,0,-
31.12.2020,Ausländer,männlich,Lebenspartnerschaft,0,-
31.12.2020,Ausländer,männlich,Lebenspartnerschaft aufgehoben,0,-
31.12.2020,Ausländer,männlich,Lebenspartner verstorben,0,-
31.12.2020,Ausländer,weiblich,ledig,0,50304
31.12.2020,Ausländer,weiblich,verheiratet,0,-
31.12.2020,Ausländer,weiblich,verwitwet,0,-
31.12.2020,Ausländer,weiblich,geschieden,0,-
31.12.2020,Ausländer,weiblich,Lebenspartnerschaft,0,-
31.12.2020,Ausländer,weiblich,Lebenspartnerschaft aufgehoben,0,-
31.12.2020,Ausländer,weiblich,Lebenspartner verstorben,0,-
31.12.2021,Deutsche,männlich,ledig,0,352296
31.12.2021,Deutsche,männlich,verheiratet,0,-
31.12.2021,Deutsche,männlich,verwitwet,0,-
31.12.2021,Deutsche,männlich,geschieden,0,-
31.12.2021,Deutsche,männlich,Lebenspartnerschaft,0,-
31.12.2021,Deutsche,männlich,Lebenspartnerschaft aufgehoben,0,-
31.12.2021,Deutsche,männlich,Lebenspartner verstorben,0,-
31.12.2021,Deutsche,weiblich,ledig,0,334460
31.12.2021,Deutsche,weiblich,verheiratet,0,-
31.12.2021,Deutsche,weiblich,verwitwet,0,-
31.12.2021,Deutsche,weiblich,geschieden,0,-
31.12.2021,Deutsche,weiblich,Lebenspartnerschaft,0,-
31.12.2021,Deutsche,weiblich,Lebenspartnerschaft aufgehoben,0,-
31.12.2021,Deutsche,weiblich,Lebenspartner verstorben,0,-
31.12.2021,Ausländer,männlich,ledig,0,53801
31.12.2021,Ausländer,männlich,verheiratet,0,-
31.12.2021,Ausländer,männlich,verwitwet,0,-
31.12.2021,Ausländer,männlich,geschieden,0,-
31.12.2021,Ausländer,männlich,Lebenspartnerschaft,0,-
31.12.2021,Ausländer,männlich,Lebenspartnerschaft aufgehoben,0,-
31.12.2021,Ausländer,männlich,Lebenspartner verstorben,0,-
31.12.2021,Ausländer,weiblich,ledig,0,50697
31.12.2021,Ausländer,weiblich,verheiratet,0,-
31.12.2021,Ausländer,weiblich,verwitwet,0,-
31.12.2021,Ausländer,weiblich,geschieden,0,-
31.12.2021,Ausländer,weiblich,Lebenspartnerschaft,0,-
31.12.2021,Ausländer,weiblich,Lebenspartnerschaft aufgehoben,0,-
31.12.2021,Ausländer,weiblich,Lebenspartner verstorben,0,-
31.12.2022,Deutsche,männlich,ledig,0,320937
31.12.2022,Deutsche,männlich,verheiratet,0,-
31.12.2022,Deutsche,männlich,verwitwet,0,-
31.12.2022,Deutsche,männlich,geschieden,0,-
31.12.2022,Deutsche,männlich,Lebenspartnerschaft,0,-
31.12.2022,Deutsche,männlich,Lebenspartnerschaft aufgehoben,0,-
31.12.2022,Deutsche,männlich,Lebenspartner verstorben,0,-
31.12.2022,Deutsche,weiblich,ledig,0,304391
31.12.2022,Deutsche,weiblich,verheiratet,0,-
31.12.2022,Deutsche,weiblich,verwitwet,0,-
31.12.2022,Deutsche,weiblich,geschieden,0,-
31.12.2022,Deutsche,weiblich,Lebenspartnerschaft,0,-
31.12.2022,Deutsche,weiblich,Lebenspartnerschaft aufgehoben,0,-
31.12.2022,Deutsche,weiblich,Lebenspartner verstorben,0,-
31.12.2022,Ausländer,männlich,ledig,0,57617
31.12.2022,Ausländer,männlich,verheiratet,0,-
31.12.2022,Ausländer,männlich,verwitwet,0,-
31.12.2022,Ausländer,männlich,geschieden,0,-
31.12.2022,Ausländer,männlich,Lebenspartnerschaft,0,-
31.12.2022,Ausländer,männlich,Lebenspartnerschaft aufgehoben,0,-
31.12.2022,Ausländer,männlich,Lebenspartner verstorben,0,-
31.12.2022,Ausländer,weiblich,ledig,0,54835
31.12.2022,Ausländer,weiblich,verheiratet,0,-
31.12.2022,Ausländer,weiblich,verwitwet,0,-
31.12.2022,Ausländer,weiblich,geschieden,0,-
31.12.2022,Ausländer,weiblich,Lebenspartnerschaft,0,-
31.12.2022,Ausländer,weiblich,Lebenspartnerschaft aufgehoben,0,-
31.12.2022,Ausländer,weiblich,Lebenspartner verstorben,0,-
__________,,,,0,
31.12.2014,Deutsche,männlich,ledig,1,332238
31.12.2014,Deutsche,männlich,verheiratet,1,-
31.12.2014,Deutsche,männlich,verwitwet,1,-
31.12.2014,Deutsche,männlich,geschieden,1,-
31.12.2014,Deutsche,männlich,Lebenspartnerschaft,1,-
31.12.2014,Deutsche,männlich,Lebenspartnerschaft aufgehoben,1,-
31.12.2014,Deutsche,männlich,Lebenspartner verstorben,1,-
31.12.2014,Deutsche,weiblich,ledig,1,315608
31.12.2014,Deutsche,weiblich,verheiratet,1,-
31.12.2014,Deutsche,weiblich,verwitwet,1,-
31.12.2014,Deutsche,weiblich,geschieden,1,-
31.12.2014,Deutsche,weiblich,Lebenspartnerschaft,1,-
31.12.2014,Deutsche,weiblich,Lebenspartnerschaft aufgehoben,1,-
31.12.2014,Deutsche,weiblich,Lebenspartner verstorben,1,-
31.12.2014,Ausländer,männlich,ledig,1,24777
31.12.2014,Ausländer,männlich,verheiratet,1,-
31.12.2014,Ausländer,männlich,verwitwet,1,-
31.12.2014,Ausländer,männlich,geschieden,1,-
31.12.2014,Ausländer,männlich,Lebenspartnerschaft,1,-
31.12.2014,Ausländer,männlich,Lebenspartnerschaft aufgehoben,1,-
31.12.2014,Ausländer,männlich,Lebenspartner verstorben,1,-
31.12.2014,Ausländer,weiblich,ledig,1,23292
31.12.2014,Ausländer,weiblich,verheiratet,1,-
31.12.2014,Ausländer,weiblich,verwitwet,1,-
31.12.2014,Ausländer,weiblich,geschieden,1,-
31.12.2014,Ausländer,weiblich,Lebenspartnerschaft,1,-
31.12.2014,Ausländer,weiblich,Lebenspartnerschaft aufgehoben,1,-
31.12.2014,Ausländer,weiblich,Lebenspartner verstorben,1,-
31.12.2015,Deutsche,männlich,ledig,1,341718
31.12.2015,Deutsche,männlich,verheiratet,1,-
31.12.2015,Deutsche,männlich,verwitwet,1,-
31.12.2015,Deutsche,männlich,geschieden,1,-
31.12.2015,Deutsche,männlich,Lebenspartnerschaft,1,-
31.12.2015,Deutsche,männlich,Lebenspartnerschaft aufgehoben,1,-
31.12.2015,Deutsche,männlich,Lebenspartner verstorben,1,-
31.12.2015,Deutsche,weiblich,ledig,1,324489
31.12.2015,Deutsche,weiblich,verheiratet,1,-
31.12.2015,Deutsche,weiblich,verwitwet,1,-
31.12.2015,Deutsche,weiblich,geschieden,1,-
31.12.2015,Deutsche,weiblich,Lebenspartnerschaft,1,-
31.12.2015,Deutsche,weiblich,Lebenspartnerschaft aufgehoben,1,-
31.12.2015,Deutsche,weiblich,Lebenspartner verstorben,1,-
31.12.2015,Ausländer,männlich,ledig,1,38383
31.12.2015,Ausländer,männlich,verheiratet,1,-
31.12.2015,Ausländer,männlich,verwitwet,1,-
31.12.2015,Ausländer,männlich,geschieden,1,-
31.12.2015,Ausländer,männlich,Lebenspartnerschaft,1,-
31.12.2015,Ausländer,männlich,Lebenspartnerschaft aufgehoben,1,-
